number,title,author,commentsCount,reviewThreadsCount,reviewsCount
6084,chore(ci): added branches filter for notify action;,DigitalBrainJS,0,0,0
6082,[Release] v1.6.2,github-actions,0,0,0
6081,chore(ci): removed redundant release action;,DigitalBrainJS,0,0,0
6080,chore(ci): removed paths-ignore filter;,DigitalBrainJS,0,0,0
6079,chore(ci): reworked ignoring files logic;,DigitalBrainJS,0,0,0
6078,chore(ci): add paths-ignore config to testing action;,DigitalBrainJS,0,0,0
6073,docs: fix outdated grunt to npm run,ckng0221,1,0,0
6064,chore(ci): fixed release notification action;,DigitalBrainJS,0,0,0
6063,chore(ci): fixed release notification action;,DigitalBrainJS,0,0,0
6062,[Release] v1.6.2,github-actions,0,0,0
6061,chore(ci): fix publish action content permission;,DigitalBrainJS,0,0,0
6060,[Release] v1.6.1,github-actions,0,0,0
6059,chore(ci): added labeling and notification for published PRs;,DigitalBrainJS,0,2,1
6056,fix(formdata): fixed content-type header normalization for non-standard browser environments;,DigitalBrainJS,0,0,0
6055,fix(platform): fixed emulated browser detection in node.js environment;,DigitalBrainJS,0,0,0
6048,fix: updated README.md,mnomanmemon,1,0,0
6046,feat(withXSRFToken): added withXSRFToken option as a workaround to achieve the old `withCredentials` behavior;,DigitalBrainJS,9,0,0
6040,Update xhr.js,Youngemmy5956,1,0,0
6039,Create iOSTimeout.md,Youngemmy5956,0,0,0
6038,Create onUploadProgress.js,Youngemmy5956,0,0,0
6037,Create ignore.js,Youngemmy5956,0,0,0
6036,Create Token.js,Youngemmy5956,1,0,0
6034,fix(sandbox): form shrinking on submit,kloyaa,2,0,0
6032,chore(ci): fix release-it arg;,DigitalBrainJS,0,0,0
6031,[Release] v1.6.0,github-actions,0,0,1
6030,Fix typo in index.ts,habipakyol,1,0,2
6028,CVE 2023 45857,valentin-panov,22,0,4
6027,Revert 2 kaitoneedwater patch 2,kaitoneedwater,1,0,0
6025,fix: Create pull request template,Yoda-Flash,0,0,0
6024,fix: Create pull request template.md,Yoda-Flash,0,1,2
6021,chore(tests): fixed tests to pass in node v19 and v20 with `keep-alive` enabled;,DigitalBrainJS,0,1,1
6018,fix: change findKey function to use hasOwnProperty,eternityduck,4,0,0
6017,fix: improve findKey function,eternityduck,0,0,0
6016,Fix: improve findKey function,eternityduck,0,0,0
6012,Update CODE_OF_CONDUCT.md,letohx,0,0,0
